harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,listrik,kamar_tidur_art,kamar_mandi_art
1800000,  Balikpapan Selatan,143.0,135.0,HGB,Non-furnished,3,2,2200.0,0,0
675000,  Balikpapan Selatan,80.0,150.0,SHM,Non-furnished,3,1,1300.0,0,0
425000,  Sepinggan,50.0,74.0,SHM,Non-furnished,2,1,1300.0,0,0
1200000,  Balikpapan Utara,47.0,78.0,HGB,Non-furnished,2,2,1300.0,0,0
2250000,  Sepinggan,200.0,403.0,SHM,Non-furnished,3,2,2200.0,0,0
1300000,  Balikpapan Selatan,82.0,128.0,SHM,Non-furnished,2,2,2200.0,1,0
1100000,  Balikpapan Selatan,120.0,120.0,SHM,Non-furnished,2,2,2200.0,1,1
1050000,  Balikpapan Utara,165.0,170.0,SHM,Non-furnished,4,2,2200.0,0,0
780000,  Balikpapan Selatan,105.0,120.0,SHM,Non-furnished,3,1,3500.0,0,0
5300000,  Gn. Sari Ilir,420.0,400.0,SHM,Non-furnished,17,6,9500.0,0,0
2900000,  Balikpapan Utara,400.0,1000.0,SHM,Non-furnished,7,3,2200.0,0,0
1300000,  Balikpapan Selatan,216.0,216.0,SHM,Non-furnished,4,2,1300.0,3,1
870000,  Balikpapan Selatan,70.0,132.0,SHM,Semi-furnished,3,2,2200.0,0,0
1100000,  Balikpapan Selatan,100.0,134.0,SHM,Non-furnished,3,2,3500.0,0,0
695000,  Balikpapan Selatan,45.0,80.0,SHM,Non-furnished,2,1,1300.0,0,0
2700000,  Balikpapan Selatan,160.0,199.0,SHM,Fully-furnished,4,4,3500.0,0,0
695000,  Balikpapan Selatan,50.0,84.0,SHM,Semi-furnished,2,1,1300.0,0,0
1400000,  Balikpapan Selatan,145.0,120.0,SHM,Non-furnished,4,2,3500.0,0,0
1280000,  Balikpapan Utara,100.0,200.0,HGB,Non-furnished,3,2,3500.0,0,0
2150000,  Balikpapan Selatan,208.0,144.0,SHM,Non-furnished,5,2,2200.0,0,0
2550000,  Balikpapan Utara,160.0,169.0,HGB,Non-furnished,4,3,4400.0,0,0
1220000,  Balikpapan Tengah,210.0,210.0,SHM,Non-furnished,3,4,2200.0,0,0
450000,  Batu Ampar,120.0,150.0,SHM,Non-furnished,2,1,1300.0,0,0
6500000,  Sepinggan,415.0,125.0,HGB,Non-furnished,4,4,3500.0,1,0
925000,  Balikpapan Selatan,100.0,108.0,SHM,Non-furnished,3,1,2200.0,0,0
1070000,  Balikpapan Selatan,145.0,120.0,SHM,Non-furnished,4,1,3500.0,0,0
2800000,  Balikpapan Selatan,226.0,280.0,SHM,Fully-furnished,5,5,4400.0,1,1
2500000,  Balikpapan Utara,244.0,285.0,SHM,Semi-furnished,5,4,3500.0,0,0
3200000,  Balikpapan Utara,235.0,315.0,SHM,Fully-furnished,5,3,5500.0,0,0
1150000,  Balikpapan Utara,47.0,78.0,SHM,Semi-furnished,2,2,1300.0,0,0
440000,  Balikpapan Utara,72.0,84.0,SHM,Non-furnished,2,1,900.0,0,0
2750000,  Balikpapan Selatan,150.0,221.0,SHM,Fully-furnished,4,2,5500.0,0,0
2980000,  Balikpapan Baru,200.0,220.0,HGB,Non-furnished,4,2,2200.0,0,0
2600000,  Balikpapan Baru,250.0,165.0,SHM,Non-furnished,4,3,7600.0,0,0
1800000,  Balikpapan Baru,280.0,320.0,SHM,Non-furnished,6,3,4400.0,0,0
3500000,  Balikpapan Selatan,260.0,230.0,SHM,Semi-furnished,5,3,3500.0,0,0
12000000,  Balikpapan Selatan,550.0,700.0,SHM,Fully-furnished,3,2,5500.0,0,0
600000,  Balikpapan Selatan,60.0,90.0,SHM,Non-furnished,3,1,900.0,0,0
1700000,  Balikpapan Selatan,260.0,150.0,SHM,Non-furnished,4,2,2200.0,0,0
850000,  Balikpapan Selatan,145.0,150.0,SHM,Non-furnished,3,1,2200.0,0,0
6850000,  Balikpapan Tengah,500.0,673.0,SHM,Non-furnished,6,5,16500.0,0,0
3850000,  Balikpapan Selatan,300.0,214.0,SHM,Fully-furnished,4,3,2200.0,0,0
1280000,  Balikpapan Utara,150.0,180.0,SHM,Non-furnished,4,2,2200.0,0,0
1500000,  Balikpapan Selatan,105.0,153.0,HGB,Non-furnished,4,4,2200.0,0,0
3300000,  Balikpapan Tengah,371.0,480.0,SHM,Non-furnished,5,3,7700.0,0,0
1310000,  Balikpapan Selatan,196.0,98.0,SHM,Non-furnished,5,3,2200.0,0,0
2500000,  Balikpapan Selatan,102.0,278.0,SHM,Non-furnished,7,4,2200.0,0,0
6400000,  Balikpapan Selatan,500.0,550.0,SHM,Fully-furnished,6,7,7600.0,1,0
2500000,  Balikpapan Barat,448.0,800.0,SHM,Semi-furnished,2,3,3500.0,1,0
470000,  Balikpapan Selatan,70.0,60.0,SHM,Non-furnished,2,1,1300.0,0,0
1475000,  Balikpapan Selatan,105.0,153.0,PPJB,Non-furnished,4,4,2200.0,0,0
1750000,  Balikpapan Utara,243.0,250.0,SHM,Non-furnished,4,1,2200.0,2,1
1250000,  Balikpapan Utara,60.0,72.0,SHM,Non-furnished,1,1,2200.0,0,0
1850000,  Gunung Bahagia,145.0,168.0,SHM,Fully-furnished,2,2,2200.0,0,0
400000,  Muara Rapak,80.0,100.0,SHM,Non-furnished,3,1,2200.0,0,0
2300000,  Balikpapan Utara,200.0,126.0,SHM,Non-furnished,4,3,3500.0,0,0
2500000,  Balikpapan Selatan,224.0,500.0,SHM,Non-furnished,3,2,2200.0,0,0
2950000,  Balikpapan Utara,384.0,240.0,SHM,Non-furnished,6,5,2200.0,0,0
1000000,  Balikpapan Utara,105.0,165.0,SHM,Non-furnished,3,2,2200.0,0,0
1240000,  Balikpapan Selatan,145.0,120.0,SHM,Fully-furnished,4,2,3500.0,0,0
1500000,  Balikpapan Timur,200.0,299.0,SHM,Non-furnished,5,2,3500.0,0,0
15000000,  Balikpapan Utara,450.0,1700.0,SHM,Non-furnished,3,3,11000.0,0,2
609480,  Balikpapan Timur,45.0,120.0,HGB,Non-furnished,2,1,2200.0,0,0
600000,  Balikpapan Selatan,100.0,125.0,SHM,Non-furnished,2,2,2200.0,0,0
780000,  Balikpapan Selatan,105.0,150.0,SHM,Semi-furnished,3,3,2200.0,0,0
3850000,  Balikpapan Selatan,240.0,260.0,SHM,Non-furnished,5,4,2200.0,0,0
1700000,  Balikpapan Tengah,150.0,200.0,SHM,Non-furnished,2,1,2200.0,1,0
1300000,  Balikpapan Selatan,250.0,150.0,SHM,Non-furnished,5,4,2200.0,0,0
750000,  Balikpapan Selatan,120.0,120.0,SHM,Non-furnished,4,3,2200.0,0,0
750000,  Balikpapan Selatan,100.0,150.0,SHM,Non-furnished,3,2,2200.0,0,0
380000,  Balikpapan Tengah,102.0,102.0,SHM,Non-furnished,2,2,1300.0,0,0
1300000,  Gunung Bahagia,316.0,241.0,SHM,Non-furnished,4,5,3500.0,0,0
580000,  Balikpapan Utara,130.0,130.0,SHM,Non-furnished,4,1,2200.0,0,0
1750000,  Sepinggan,140.0,98.0,SHM,Non-furnished,3,3,2200.0,0,0
1400000,  Balikpapan Selatan,95.0,173.0,SHM,Semi-furnished,4,2,1300.0,0,0
395000,  Balikpapan Selatan,54.0,116.0,SHM,Non-furnished,3,1,1300.0,0,0
5000000,  Balikpapan Timur,400.0,235.0,SHM,Non-furnished,4,4,5500.0,0,0
2100000,  Balikpapan Utara,225.0,165.0,SHM,Non-furnished,3,2,3500.0,0,0
1250000,  Balikpapan Utara,144.0,600.0,HGB,Non-furnished,3,2,2200.0,0,0
2500000,  Balikpapan Selatan,150.0,221.0,SHM,Non-furnished,3,2,3500.0,0,0
2700000,  Balikpapan Baru,160.0,169.0,SHM,Non-furnished,4,3,4400.0,0,0
1600000,  Batu Ampar,100.0,179.0,SHM,Semi-furnished,3,2,3500.0,0,0
1200000,  Balikpapan Tengah,65.0,90.0,SHM,Non-furnished,3,3,1300.0,0,0
1320000,  Balikpapan Selatan,196.0,98.0,SHM,Non-furnished,5,3,2200.0,0,0
1150000,  Balikpapan Timur,190.0,136.0,SHM,Semi-furnished,3,2,1300.0,0,0
