Price,Lokasi,Tipe,Group,Luas Bangunan,Luas Tanah,Sertifikat,Furnish
2500000000," Balikpapan, Balikpapan Baru",Rumah,Secondary,70.0,300.0,SHM,Semi-furnished
4030000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,300.0,198.0,SHM,Fully-furnished
1800000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,100.0,208.0,SHM,Fully-furnished
1560000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,105.0,153.0,SHM,Non-furnished
1000000000," Balikpapan, Karang Rejo",Rumah,Secondary,238.0,210.0,SHM,Semi-furnished
500000000," Balikpapan, Sepinggan",Rumah,Secondary,45.0,90.0,SHM,Semi-furnished
1000000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,54.0,180.0,HGB,Non-furnished
550000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,112.0,112.0,SHM,Non-furnished
2510000000," Balikpapan, Balikpapan Utara",Rumah,Primary,123.0,135.0,HGB,Non-furnished
4080000000," Balikpapan, Balikpapan Selatan",Rumah,,160.0,400.0,SHM,
1540000000," Balikpapan, Balikpapan Utara",Rumah,,200.0,211.0,SHM,
3550000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,290.0,300.0,SHM,Non-furnished
2500000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,172.0,510.0,SHM,Non-furnished
6700000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,300.0,417.0,SHM,
2200000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,300.0,250.0,SHM,
2300000000," Balikpapan, Balikpapan Timur",Rumah,,142.0,162.0,HGB,
1155000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,120.0,150.0,SHM,Semi-furnished
850000000," Balikpapan, Balikpapan Selatan",Rumah,,64.0,124.0,HGB,
700000000," Balikpapan, Balikpapan Timur",Rumah,,48.0,107.0,SHM,
1800000000," Balikpapan, Balikpapan Selatan",Rumah,,143.0,135.0,HGB,
675000000," Balikpapan, Balikpapan Selatan",Rumah,,80.0,150.0,SHM,
425000000," Balikpapan, Sepinggan",Rumah,,50.0,74.0,SHM,
1200000000," Balikpapan, Balikpapan Utara",Rumah,,47.0,78.0,HGB,
4500000000," Balikpapan, Balikpapan Selatan",Rumah,,400.0,389.0,SHM,
2250000000," Balikpapan, Sepinggan",Rumah,Secondary,200.0,403.0,SHM,Non-furnished
1300000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,82.0,128.0,SHM,
1100000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,120.0,120.0,SHM,
1050000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,165.0,170.0,SHM,Non-furnished
5300000000," Balikpapan, Gn. Sari Ilir",Rumah,Secondary,420.0,400.0,SHM,Non-furnished
2900000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,400.0,1000.0,SHM,
1300000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,216.0,216.0,SHM,
870000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,70.0,132.0,SHM,Semi-furnished
1500000000," Balikpapan, Balikpapan Timur",Rumah,Secondary,178.0,100.0,SHM,Non-furnished
2300000000," Balikpapan, Batu Ampar",Rumah,,440.0,220.0,SHM,
2350000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,108.0,210.0,HGB,
2009999999," Balikpapan, Balikpapan Timur",Rumah,,300.0,300.0,SHM,
1385000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,65.0,133.0,SHM,Non-furnished
530000000," Balikpapan, Balikpapan Utara",Rumah,,48.0,150.0,SHM,
1675000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,143.0,135.0,HGB,Fully-furnished
2550000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,195.0,285.0,SHM,
3600000000," Balikpapan, Balikpapan Utara",Rumah,,191.0,220.0,SHM,
3500000000," Balikpapan, Balikpapan Utara",Rumah,,250.0,240.0,SHM,
1100000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,100.0,134.0,SHM,Non-furnished
695000000," Balikpapan, Balikpapan Selatan",Rumah,Primary,45.0,80.0,SHM,Non-furnished
2700000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,160.0,199.0,SHM,Fully-furnished
695000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,50.0,84.0,SHM,Semi-furnished
1400000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,145.0,120.0,SHM,
1280000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,100.0,200.0,HGB,
2150000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,208.0,144.0,SHM,
2550000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,160.0,169.0,HGB,
1220000000," Balikpapan, Balikpapan Tengah",Rumah,Secondary,210.0,210.0,SHM,
450000000," Balikpapan, Batu Ampar",Rumah,Secondary,120.0,150.0,SHM,
6500000000," Balikpapan, Sepinggan",Rumah,Secondary,415.0,125.0,HGB,
925000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,100.0,108.0,SHM,
1070000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,145.0,120.0,SHM,
2800000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,226.0,280.0,SHM,Fully-furnished
1150000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,47.0,60.0,HGB,Non-furnished
2500000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,244.0,285.0,SHM,Semi-furnished
3200000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,235.0,315.0,SHM,Fully-furnished
1150000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,47.0,78.0,SHM,Semi-furnished
440000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,72.0,84.0,SHM,Non-furnished
2750000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,150.0,221.0,SHM,Fully-furnished
2980000000," Balikpapan, Balikpapan Baru",Rumah,Secondary,200.0,220.0,HGB,Non-furnished
2600000000," Balikpapan, Balikpapan Baru",Rumah,Secondary,250.0,165.0,SHM,
1800000000," Balikpapan, Balikpapan Baru",Rumah,Secondary,280.0,320.0,SHM,
3500000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,260.0,230.0,SHM,Semi-furnished
12000000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,550.0,700.0,SHM,Fully-furnished
1700000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,260.0,150.0,SHM,Non-furnished
850000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,145.0,150.0,SHM,Non-furnished
6850000000," Balikpapan, Balikpapan Tengah",Rumah,Secondary,500.0,673.0,SHM,Non-furnished
3850000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,300.0,214.0,SHM,Fully-furnished
1280000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,150.0,180.0,SHM,
1500000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,105.0,153.0,HGB,Non-furnished
3300000000," Balikpapan, Balikpapan Tengah",Rumah,Secondary,371.0,480.0,SHM,
1310000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,196.0,98.0,SHM,
5520000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,311.0,248.0,SHM,Non-furnished
2500000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,102.0,278.0,SHM,Non-furnished
6400000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,500.0,550.0,SHM,Fully-furnished
3500000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,200.0,318.0,SHM,Semi-furnished
2500000000," Balikpapan, Balikpapan Barat",Rumah,Secondary,448.0,800.0,SHM,Semi-furnished
470000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,70.0,60.0,SHM,Non-furnished
